player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Hayden Conner,144723,G,TEXAS,16,100.0,0,311,70.9,85.4,65.9,4,11,589,100.0,100.0,98.7,3,15,0,1067,50,1017,0,1067,617,617,0,0,450,0
Caleb Rogers,123157,T,TEXAS TECH,13,100.0,0,315,70.9,77.3,69.5,4,14,581,100.0,100.0,97.8,9,22,4,1025,0,186,0,1025,610,610,115,721,415,1
Cameron Williams,163867,T,TEXAS,15,100.0,1,311,67.4,72.6,70.8,3,18,539,100.0,100.0,97.1,16,26,5,975,0,0,0,975,561,561,0,973,414,2
Ajani Cornelius,142968,T,OREGON,14,99.9,0,264,74.2,72.4,73.8,4,22,497,100.0,99.8,96.8,4,29,3,965,0,2,1,966,526,527,1,939,439,20
Marcus Bryant,121917,T,MISSOURI,13,100.0,1,229,75.0,73.2,75.6,3,14,439,100.0,100.0,96.9,5,22,5,903,0,1,900,903,459,459,0,0,444,1
Miles Frazier,123626,G,LSU,13,100.0,1,211,70.3,88.0,63.9,1,12,545,100.0,100.0,98.8,3,13,0,902,0,0,0,902,579,579,839,61,323,0
Chase Lundt,98515,T,UCONN,13,100.0,0,146,86.7,73.9,87.1,1,8,428,100.0,100.0,98.9,2,9,0,897,0,1,0,897,449,449,0,894,448,2
Dylan Fairchild,146716,G,GEORGIA,14,100.0,0,173,74.6,87.0,71.8,1,7,501,100.0,100.0,99.0,4,9,1,876,0,871,0,876,536,536,5,0,340,0
Will Campbell,157106,T,LSU,12,100.0,0,211,72.2,80.6,69.7,5,11,524,100.0,100.0,98.1,9,18,2,866,0,0,861,866,558,558,0,2,308,1
Jalen Travis,155412,T,IOWA STATE,12,99.9,0,193,70.8,85.8,58.5,2,8,443,100.0,99.8,98.6,3,11,1,849,0,0,832,850,475,476,0,0,374,18
Armand Membou,125008,T,MISSOURI,12,100.0,1,229,90.6,86.6,87.6,0,8,392,100.0,100.0,99.0,4,8,0,827,0,1,0,827,411,411,0,800,416,26
John Williams,123585,T,CINCINNATI,12,100.0,0,138,75.3,86.3,65.7,1,6,441,100.0,100.0,99.0,2,8,1,826,0,0,823,826,461,461,0,0,365,3
Donovan Jackson,145064,T,OHIO STATE,14,100.0,0,260,71.8,69.9,70.2,5,12,405,100.0,100.0,97.4,2,19,2,816,0,286,529,816,422,422,0,1,394,0
Jared Wilson,146717,C,GEORGIA,12,100.0,1,173,79.6,84.9,76.0,1,5,475,100.0,100.0,99.4,3,6,0,810,810,0,0,810,511,511,0,0,299,0
Jonah Monheim,86461,C,USC,12,100.0,0,326,70.9,69.3,71.4,2,14,495,100.0,100.0,98.4,2,16,0,807,807,0,0,807,514,514,0,0,293,0
Tyler Booker,157001,G,ALABAMA,13,100.0,0,103,66.5,86.5,63.9,3,7,370,100.0,100.0,98.6,7,10,0,778,0,701,77,778,395,395,0,0,383,0
Drew Kendall,143829,C,BOSTON COL,13,100.0,1,121,78.8,81.5,75.9,1,3,350,100.0,100.0,99.1,2,5,1,777,777,0,0,777,365,365,0,0,412,0
Ozzy Trapilo,123552,T,BOSTON COL,12,100.0,0,121,76.8,80.5,69.9,1,12,347,100.0,100.0,97.6,0,15,2,772,0,0,0,772,362,362,0,756,410,15
Jack Nelson,129927,T,WISCONSIN,12,100.0,2,349,79.9,82.2,75.2,1,7,369,100.0,100.0,98.6,7,9,1,752,0,0,751,752,393,393,0,0,359,1
Mason Richman,129479,T,IOWA,13,100.0,0,192,79.2,79.6,74.6,1,4,305,100.0,100.0,98.5,1,7,2,743,0,0,743,743,316,316,0,0,427,0
Connor Colby,144862,G,IOWA,13,100.0,0,192,77.1,66.9,77.3,2,6,305,100.0,100.0,98.0,1,10,2,743,0,0,0,743,316,316,743,0,427,0
Anthony Belton,143985,T,NC STATE,12,99.7,3,248,73.6,87.3,69.4,1,8,410,99.5,99.5,98.2,8,12,3,739,0,0,731,741,438,440,0,4,301,1
Luke Newman,143066,G,MICH STATE,12,100.0,0,223,71.9,76.9,69.9,0,9,398,100.0,100.0,98.9,2,9,0,739,0,739,0,739,417,417,0,0,322,0
Jonah Savaiinaea,158742,T,ARIZONA,11,100.0,0,109,75.9,82.7,64.2,2,9,456,100.0,100.0,97.9,1,15,4,738,0,0,345,738,478,478,0,364,260,29
Bryce Cabeldue,122550,T,KANSAS,12,99.9,0,198,80.0,80.2,76.6,0,5,328,99.7,100.0,98.3,6,8,3,735,0,2,602,736,344,344,1,121,391,7
Wyatt Milum,144785,T,W VIRGINIA,11,99.9,1,343,91.0,92.5,89.2,0,6,335,100.0,99.7,99.1,5,6,0,705,0,0,700,706,356,357,0,0,349,6
Aireontae Ersery,129649,T,MINNESOTA,12,99.9,0,225,77.5,77.3,73.6,1,10,398,99.7,99.8,98.4,3,12,1,690,0,2,679,691,419,420,0,4,271,6
Marcus Mbow,145113,T,PURDUE,12,100.0,0,273,74.0,68.0,78.7,1,21,367,100.0,100.0,96.2,7,25,3,666,0,0,0,666,385,385,0,658,281,8
Jalen Rivers,122221,T,MIAMI FL,8,100.0,1,220,70.7,78.8,65.8,1,7,323,100.0,100.0,98.5,3,9,1,583,0,219,364,583,348,348,0,0,235,0
Myles Hinton,131761,T,MICHIGAN,10,100.0,0,222,69.0,69.4,66.0,3,6,256,100.0,100.0,97.9,1,10,1,578,0,0,572,578,265,265,0,1,313,5
Tate Ratledge,124034,G,GEORGIA,10,100.0,0,173,74.4,77.3,74.7,2,4,286,100.0,100.0,98.6,2,7,1,500,0,2,0,500,311,311,498,0,189,0
Garrett Dellinger,146770,G,LSU,7,100.0,0,211,72.7,80.9,69.3,0,3,268,100.0,100.0,99.4,0,3,0,461,0,460,0,461,291,291,0,0,170,0
Branson Taylor,123026,T,PITTSBURGH,6,100.0,1,268,64.8,76.4,57.9,1,6,219,100.0,100.0,97.5,2,9,2,343,0,0,343,343,230,230,0,0,113,0
Josh Simmons,88924,T,OHIO STATE,6,100.0,0,260,74.4,82.0,68.7,0,1,152,100.0,100.0,99.7,1,1,0,306,0,0,306,306,158,158,0,0,148,0
