player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kyle McCord,145053,QB,SYRACUSE,13,75.2,552,593,8.8,2.4,11,36,5.7,65.8,390,0,171,6.0,640,25,246,304,58.6,90.5,87.5,77.4,10,12,679,1,17.0,101.0,4.5,29,15,2,18,34,24,3.5,4760,8.0
Shedeur Sanders,131396,QB,COLORADO,13,81.8,451,481,8.1,3.0,8,26,5.0,73.4,353,1,204,4.3,563,16,198,143,65.4,91.0,90.5,67.4,2,10,605,7,20.1,116.0,7.3,41,39,1,19,37,8,1.3,4133,8.6
Cam Ward,133244,QB,MIAMI FL,13,76.5,425,454,9.8,2.93,4,31,6.3,67.2,305,0,145,6.2,511,20,217,220,50.5,92.9,91.7,77.8,3,7,553,0,15.9,119.9,4.5,23,32,0,22,39,18,3.3,4313,9.5
Dillon Gabriel,86272,QB,OREGON,14,81.9,426,451,7.0,2.78,9,15,3.2,72.3,326,0,137,6.6,492,23,187,264,70.5,86.8,86.3,61.8,6,6,515,4,13.9,114.6,3.9,19,22,2,8,30,8,1.6,3854,8.5
Quinn Ewers,127253,QB,TEXAS,14,75.8,417,444,7.9,2.59,8,20,4.3,65.8,292,0,142,7.6,503,24,169,311,28.3,72.5,71.8,55.6,2,12,526,1,23.2,101.5,6.6,33,19,0,17,31,21,4.0,3469,7.8
Will Howard,122599,QB,OHIO STATE,16,79.6,402,423,8.5,2.66,3,22,5.0,72.8,308,0,123,3.8,458,12,182,260,50.6,86.4,85.7,64.3,5,10,479,1,13.0,119.9,3.5,16,15,0,13,35,15,3.1,4003,9.5
Riley Leonard,143862,QB,NOTRE DAME,16,78.2,371,405,7.5,2.81,8,18,4.1,66.4,269,0,153,7.2,476,21,157,258,71.7,83.5,73.9,82.8,13,8,508,4,12.4,95.8,4.0,19,51,2,11,21,10,2.0,2851,7.0
Jaxson Dart,146409,QB,OLE MISS,13,77.7,376,399,11.9,2.77,9,30,7.1,69.2,276,0,146,5.5,474,16,182,226,73.3,92.5,91.9,75.3,5,6,501,7,19.2,122.3,5.9,28,45,1,8,29,11,2.2,4276,10.7
Tyler Shough,83537,QB,LOUISVILLE,12,75.1,354,391,9.7,2.92,2,21,5.1,62.1,243,0,150,8.6,424,23,148,210,72.6,87.4,87.7,56.0,3,6,446,3,9.3,101.1,3.3,14,18,1,31,23,8,1.8,3191,8.2
Jalen Milroe,146590,QB,ALABAMA,13,72.6,303,324,9.9,2.88,2,18,5.2,63.3,205,0,124,6.8,371,15,127,103,53.0,87.4,78.3,81.8,8,11,395,5,18.5,93.6,6.2,23,24,1,10,16,10,2.5,2834,8.7
Kurtis Rourke,97998,QB,INDIANA,12,74.4,309,322,10.4,2.55,6,19,5.6,68.9,222,0,75,3.5,360,8,155,190,56.8,88.4,90.2,46.7,2,5,382,2,26.7,122.5,5.6,20,17,1,4,29,10,2.6,3042,9.4
Graham Mertz,97994,QB,FLORIDA,5,82.4,91,94,7.6,2.81,1,4,4.0,76.6,72,0,28,4.0,107,3,45,163,40.4,73.7,75.4,55.5,0,2,116,0,14.3,113.4,3.7,4,9,0,2,6,5,4.3,791,8.4
